rank,uei,vendor,amount_M_lifetime,primary_naics,naics_desc,naics_2digit,naics_4digit,naics_sector_label,cage,country,lookup_status
13,J9V9SJL4CW97,CURTISS-WRIGHT FLOW CONTROL CORPORATION,74.7044,,,,,Unknown,,,not_found
14,Y6X3BDLEPNJ6,"W INTERNATIONAL SC, LLC",74.0757,336611,Ship Building and Repairing ,33,3366,Manufacturing — Machinery/Electronics/Transport Eq,88ML5,USA,ok
15,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",71.4569,,,,,Unknown,,,not_found
16,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",68.8453,332313,Plate Work Manufacturing ,33,3323,Manufacturing — Machinery/Electronics/Transport Eq,1P555,USA,ok
17,EGAVSJTA2D81,GOODRICH CORP,64.9453,,,,,Unknown,,,not_found
18,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",58.7196,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,33,3334,Manufacturing — Machinery/Electronics/Transport Eq,66935,USA,ok
19,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LLC",57.2668,325212,Synthetic Rubber Manufacturing ,32,3252,Manufacturing — Chemicals/Plastics/Metals,82094,USA,ok
20,U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.",52.9554,,,,,Unknown,,,not_found
21,SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC.",52.277,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",33,3345,Manufacturing — Machinery/Electronics/Transport Eq,27410,USA,ok
22,CMT4S6G76QB5,"BWX TECHNOLOGIES, INC.",51.7972,,,,,Unknown,,,not_found
23,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",51.2006,332710,Machine Shops,33,3327,Manufacturing — Machinery/Electronics/Transport Eq,29293,USA,ok
24,TZVRTYNM3MN3,"PEGASUS STEEL, LLC",48.9201,332313,Plate Work Manufacturing ,33,3323,Manufacturing — Machinery/Electronics/Transport Eq,4T1A9,USA,ok
25,JEP5GQGFPUL9,PORTLAND VALVE LLC,48.1286,332911,Industrial Valve Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,53154,USA,ok
26,SQ2DSCE69F15,TELEDYNE TECHNOLOGIES INCORPORATED,44.2596,334419,Other Electronic Component Manufacturing ,33,3344,Manufacturing — Machinery/Electronics/Transport Eq,1NUQ8,USA,ok
27,Q35JL9GFCAK3,"MAROTTA CONTROLS, INC.",38.8756,332912,Fluid Power Valve and Hose Fitting Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,99657,USA,ok
28,SCWYXXK1EM13,ULTRA ELECTRONICS HOLDINGS PLC,38.8644,,,,,Unknown,,,not_found
29,GU5YDKH7GPF1,CIRCOR PUMPS NORTH AMERICA LLC,37.7465,,,,,Unknown,,,not_found
30,NEGFNA8YS723,"ALLARD NAZARIAN GROUP, INC.",37.0961,339999,All Other Miscellaneous Manufacturing ,33,3399,Manufacturing — Machinery/Electronics/Transport Eq,82005,USA,ok
31,HG5LNJAG4LU8,"HUNT VALVE COMPANY, INC.",36.5339,,,,,Unknown,,,not_found
32,DK14KTLXA9M5,"KME AMERICA MARINE TUBE & FITTING, LLC",36.2654,332919,Other Metal Valve and Pipe Fitting Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,7A8G3,USA,ok
33,RM4TFABVLPX4,"CP INDUSTRIES HOLDINGS, INC",33.9556,,,,,Unknown,,,not_found
34,K3XPS1HXNBF3,"B. & F. MACHINE CO., INC.",33.8862,332710,Machine Shops,33,3327,Manufacturing — Machinery/Electronics/Transport Eq,9J253,USA,ok
35,N79NY6FRL2F3,CUSTOM ALLOY CORPORATION,32.8948,332996,Fabricated Pipe and Pipe Fitting Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,3GR33,USA,ok
36,FK17Z7DJWLL1,APCO TECHNOLOGIES SA,32.8017,,,,,Unknown,SVP45,CHE,ok
37,LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.",31.6148,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing ,33,3334,Manufacturing — Machinery/Electronics/Transport Eq,60756,USA,ok
38,UHXFGP3DCRK7,"HANSOME ENERGY SYSTEMS, INC.",31.1098,,,,,Unknown,,,not_found
39,JG6AMW7E23Z6,C. H. POWELL COMPANY,30.2209,488510,Freight Transportation Arrangement ,48,4885,Transportation,1YFV2,USA,ok
40,HPDLRXR4FYX5,BAE SYSTEMS LAND & ARMAMENTS L.P.,28.9666,,,,,Unknown,,,not_found
