Subawardee UEI,Subawardee Vendor Name,Distinct PIIDs,Distinct Programs,Distinct Subaward Numbers
QPB2M919LQM5,MATERION BRUSH INC,3,2,13
DDQCLD6FEJJ6,"TOG MANUFACTURING COMPANY, INC.",3,2,25
C1NAJQ34VWM5,CAMERON ENERGY SERVICES CORP.,4,3,19
U5DDDFM4LJS3,"PRIME TECHNOLOGY, LLC",3,1,13
TAB4FBLR5UM1,ANIXTER INC.,6,3,12
ZU51LS7JZ8L5,"FCX SYSTEMS, INC.",1,1,5
KXWXRYB3FBW3,FLOWSERVE CORP,6,2,9
JR3NDKLB4BH9,PACIFIC MARINE SYSTEMS CORP,3,1,21
HJUAXSF12JR6,"CUSTOM HYDRAULIC & MACHINE, INC.",3,2,32
VGCPT3NSM831,HII FLEET SUPPORT GROUP LLC,1,1,5
V627Y8NS1JM1,"MILCOTS, LLC",4,2,16
ZPZMCRH2JSA3,"EZEFLOW USA, INC.",3,2,17
LCYTE2L5JEP4,NAVAL ENGINEERING SUPPORT INC.,1,1,13
UNG7G6S4JRA6,"5TH AXIS, LLC",4,2,23
UR64LG5YKUE8,LYNN LADDER AND SCAFFOLDING CO INC,3,2,12
K4GJKMQD4961,"BARBER-NICHOLS, LLC",1,1,1
MYKLJHTX3MM7,"LEIDOS, INC.",4,2,6
K84MXRVQ8BW5,"PACIFIC SHIPYARDS INTERNATIONAL, LLC",1,1,1
K3URF4HUNQS5,"GLOBAL, INCORPORATED",2,1,25
JNC1BUEVV3B9,"JGILS, LLC",3,1,30
R2D6XY1EM6J8,"SENSARAS, LLC",3,2,12
FJMAMQK89ZB8,"CAMERON TECHNOLOGIES US, INC.",7,2,24
FACXKY7FULJ4,"PRECISION FABRICATING & CLEANING COMPANY, INC.",1,1,2
F2KSX22KK1E4,BLOOMY CONTROLS INC,1,1,2
KH1SMVPKSHY4,GREAT LAKES SOUND & VIBRATION INC,3,1,4
V73QNVKJWAJ9,CRYSTAL GROUP INC.,3,2,13
TJGHTGTTVEA1,"SAFARI MICRO GOVERNMENT SOLUTIONS, LLC",4,2,19
XBHNYVTCDQH8,"UNIFIED2 GLOBAL PACKAGING GROUP, LLC",2,2,4
NGMSB6M2QKA4,ASA ENVIRONMENTAL PRODUCTS INC,4,2,35
NG7TY7BYU9R7,"W. & O. SUPPLY, INC.",2,2,40
VDGQNU1VJC64,XCHANGER MANUFACTURING CORPORATION,3,1,10
V32LJNFLKBT7,RFD BEAUFORT INC.,5,1,10
HDM5WRBME2K7,ALLIANT TECHSYSTEMS OPERATIONS LLC,2,1,3
HB74FFGNFK17,THE DYSON CORPORATION,4,2,14
KMDLJAJQ4UM1,"BRANTNER AND ASSOCIATES, INC.",4,2,90
D6GJGD1KMH25,"ANIXTER, INC",3,2,11
EANJVKFHMSZ8,"GULF FASTENER, INC.",3,2,7
U73RYB2RKTW4,RWH CONSULTING GROUP INC,1,1,7
EZVMH8VEGL34,"BAUER COMPRESSORS, INC.",3,1,12
X3DBJSMT83N5,CLEVELAND-CLIFFS PLATE LLC,2,2,20
WN3KS9Z5JLK9,"PRECISION MACHINE & GEAR, INC.",3,2,23
JH2CJYVWBME6,"ROLLER BEARING COMPANY OF AMERICA, INC.",2,1,11
PUVNWFNW5BG3,VETERANS GROUP LLC,1,1,7
QSMPQ9WU65L5,"FAIRLEAD INTEGRATED, LLC",1,1,1
EUB6UJ91Y997,SENESCO MARINE LLC,1,1,5
Z86FMF9P1KD6,"G. S. E. DYNAMICS, INC.",2,2,9
KSZBH4K529U5,"CMI, INC.",2,2,9
ZVKEBJ4HQHB8,HEILIND MIL-AERO LLC,5,3,31
KVETLASZ5DL3,CONREX STEEL LIMITED,2,2,4
SK3YCN3CHJD7,"PLASTIC DISTRIBUTORS & FABRICATORS, INC.",4,2,7
UAWKMCFNMNT1,"CRAIG TECHNOLOGIES AEROSPACE SOLUTIONS, LLC",1,1,2
QLTXH525A671,"RAPID PREP, LLC",4,2,25
J8ATNVMEGLK1,"CHAND, L.L.C.",4,1,28
S3GFGJ1QGAE6,"M.S.M. INDUSTRIES, INC.",4,1,17
XFM4VGW1NBE4,"L.C.DOANE COMPANY,THE",4,3,11
NKNLZEBJBM67,TRANSDIGM INC,2,2,13
XPJVJCWTHYV6,ESCO GROUP INC,2,1,3
G45GNP4ARKJ3,PROTERIAL CABLE AMERICA INC,2,2,14
CR99X5Q2KQS1,"L.B.I., INC.",6,3,19
UR5TFK3LAVL5,FEDERAL RESOURCES SUPPLY COMPANY,4,3,16
UNYXWK1ZR391,"MAYCO MANUFACTURING, LLC",1,1,4
SS8JL7WNHPX9,"BURNS & MCDONNELL ENGINEERING COMPANY, INC.",1,1,2
JHPXZQA4R1X1,"BLACK ROCK TECHNOLOGY GROUP, LLC",4,2,28
YGGCA283C3P4,HALE HAMILTON (VALVES) LIMITED,2,1,2
ZMBFGXHLGLM3,BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,1,1,12
U2PTLL8PXDE3,"ABLE MACHINE TOOL SALES, INC.",1,1,2
EU8ESM53JNE7,LANXESS CORPORATION,1,1,4
JGNYLKEPEBL4,"PEMCO-NAVAL ENGINEERING WORKS, INC.",3,1,37
WA9LNGN2DPF4,"BECHTEL NATIONAL, INC.",1,1,1
N1C5QLNPJLS4,DELL FEDERAL SYSTEMS L.P,2,2,10
DV6YQV71ME11,Mar-Vac Products Inc,2,1,25
KKRWXEQ9FVU6,HURLEY CONSTRUCTION,2,2,2
FFKCVFLHNTE7,AMERICAN HYDRO CORPORATION,2,1,13
