supplier,sub_key,total_sub_dollars,n_distinct_primes,primary_capability,primes
"DAWSON ENTERPRISES, LLC",K1HFNG3Z7639,36755.9,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
GENERAL PRODUCTS LLC,P5JCT91NAKK3,36500.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
MILITARY AIRLIFT EXPERTS LLC (MILAIRX LLC),VNA7VMF85NL4,36241.0,1,autonomy_software,"TELEDYNE BROWN ENGINEERING, INC."
UNMANNED SYSTEMS SOURCE LLC,KZMKJTDQFM19,35200.0,1,autonomy_software,RAYTHEON COMPANY
ADAMS AIR & HYDRAULICS INC,UB85XFK12YE9,34999.98,1,autonomy_software,"TELEDYNE BROWN ENGINEERING, INC."
"VEGAS FASTENER MANUFACTURING, LLC",CZKYJKB7H9J7,34892.68,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
CITY ELECTRIC SUPPLY COMPANY,LWUJSY6EEMS5,33838.25,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"VISHAY PRECISION GROUP, INC.",XV7MNKF4D875,33750.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"MONARCH SUPPLY COMPANY, INC.",XLDGHJ7SJQK8,32670.0,1,other_unclassified,HUNTINGTON INGALLS INC
"A A PRECISION MACHINE CO., INC.",SLF6QBVJAD25,32165.0,1,other_unclassified,SERCO-IPS CORPORATION
"AWC, INC.",FZLAJS2MPCF6,31624.8,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
FASTENAL COMPANY,C2X8XB6CJJQ8,31512.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"HIGHSTAR INDUSTRIAL TECHNOLOGIES, INC.",DL6TM8X36D63,31392.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"ROCKWELL COLLINS, INC.",EGAVSJTA2D81,30000.0,1,other_unclassified,RAYTHEON COMPANY
